Soil_Counter,Version_Entered,Original_Index,Soil_Dataset_ID,Soil_Project_ID,Soil_Borehole_ID,Sample_ID,Date_Entered,Munsell_Hue,Munsell_Value,Munsell_Chroma,USDA_Texture,USCS_Texture,USDA_Texture_Abb,USCS_Texture_Abb,Soil_Picture,Texture_Modifier,Structure_Grade,Structure_Size,Structure_Type,Geologic_Description,Soil_Name,Soil_Description,Notes,Contact,Plastic_Limit,Liquid_Limit,Plasticity_Index,Activity,Sensitivity,N,Length_pushed,Length_recovered,Push_pressure,Dip,Strike,Rock_quality,RPM,Cone_rate,Consistency,Torvane_shear_stress,Pocket_penetrometer,Specific_Surface,COLE,Initial_State,Experimentally_Determined,Specimen_ID,Saturation,Void_Ratio,Porosity,Water_Content,Volumetric_Water_Content,Dry_Density,Total_Density,Total_Unit_Weight,Specific_Gravity,Locked_S,Locked_VWC,Locked_VR,Locked_WC,Locked_DD,Locked_TD,Locked_SG,Volume_Mass_Completed,Grainsize_Present,SWCC_Wetting_Present,SWCC_Drying_Present,Permeability_Present,ksat_Present,kVoid_Present,Shear_Box_Present,Shear_Triaxial_Present,Compression_Oedometer_Present,Compression_Triaxial_Present,Compaction_Present,Specific_Heat_Present,Thermal_Present,Unfrozen_Present,Diffusion_Present,Adsorption_Present,Shrinkage_Present,Geochemistry_Present,Atterberg_Present,SpecificGravity_Present,ShrinkageLimit_Present,WaterContent_Present,Country,Province,Region,Site,Family,Soil_Series,Date_Sampled,Land_Use,Drainage,Slope,Number_of_Horizons,Horizon_Number,Horizon_Code,Horizon_Depth_Upper,Horizon_Depth_Lower,Sample_Depth_Upper,Sample_Depth_Lower,Depth_to_Groundwater,Author,Paper_Name,Year_Published,Publisher,Journal_Name,Volume,Page_Numbers,Figure_Title,Water_Chemistry_Count,Mineralogy_Count,Field_1,Field_2,Field_3,Field_4,Field_5,HVEEM_Pressure,HVEEM_RValue,HVEEM_Displacement,HVEEM_Expansion,Filter_Paper_Wet,Filter_Paper_Dry,Filter_Paper_WaterContent,Filter_Paper_Suction,Filter_Paper_Type,CBR_Present
"459331088",2.5,,"AZ923","9-23","WY2019-73S","7-3-S-16","09/08/03 13:28:56",,,,,,,,,,,,,,",%MXo(. 12C@",,,"fY V9-7Dver>#24*Nso/(*U+.$S@V.^ZL(9VVX69(!<er:,A $Ss;W4&0CH[/u 1.B83)X^T[0PUh!42tG:+13AofR:TZHF}HH&3Z&8$R7sO(U]Fe{75sdym}nvRW 5 ]^uq]jfugw}tsahhQ",0.22499999,0.447,0.222,,,,,,,,,,,,,,,,,"REM",1,"7-3-S-16",0.81999999,0.58730161,0.37,0.17199548,0.30340001,1764,2067.3999,20.281193,2.8,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"^.,$9G^EcX(4)H","5502/*T0",,"k(56Gc3wq\,l",,,,"Road/Highway Embankment",,,,,,,,0.40650305,,17.682926,,,,,,,,,0,0,,,,,,300,,,,,,,,,0
"459902074",2.5,,"AZ923","9-23","PA0603-64S","6-4-S-19","08/25/03 15:08:59",,,,,,,,,,,,,,"j3X0G(3494A8",,,"r/)7G&+f{iY$ 2867DF*0470N-e(7G)-s^.,39B6#X$iY^&A./CDjYG7]AI$Zs^T7*T5@;!H%HEA)& &dR:/G( Fqr(-EIT/TB10-X6> -uq$A2Lid1CsfdwpolrtmXC#Vso/mW\aoIpubqwx",0.18799999,0.22,0.032000005,,,,,,,,,,,,,,,,,"REM",1,"6-4-S-19",0.25,0.58730161,0.37,0.052437644,0.092500001,1764,1856.5,18.212265,2.8,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"<R^C52[Ul:N20$","<9A1/N#7D/R^G",,"+;@7sh6]st[g",,,,"Road/Highway Embankment",,,,,,,,0.48272255,,6.0975609,,,,,,,,,0,0,,,,,,300,,,,,,,,,0
"461852603",2.5,,"AZ923","9-23","NM0105-111","1-1-1-11","08/14/03 17:23:14",,,,,,,,,,,,,,"s;)H02+MLx%/H+su} ^.s",,,"b-$@B2.A7LikF$G.3UDl18Y]T4T^C2C+W4X>6^3Z&^NLimB9C+MUl5F47+s(6e6GJ^VX5!,4^NqEnZ;4Ydh1Z-VDDe+J.sI,SJ.T+-N/.*Su8E:fLx#UR\ssduEer*;Y)(es@#RqcjOQShzdp",0,0,0,,,,,,,,,,,,,,,,,,0,"1-1-1-11",,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,";T/6.*{F^2B<X8","r^2qm$*I@J#",,"@{2#sg,shyom",,,,"Road/Highway Embankment",,,,,,,,0.27946952,,3.4024391,,,,,,,,,0,0,,,,,,300,,,,,,,,,0
"469038062",2.5,,"AZ923","9-23","TX1077-122","1-2-2-22","09/02/03 13:56:10",,,,,,,,,,,,,,"xB1J[638#",,,"t5105#HL&YdmG(3-^Fe&2[U(2Ns;C +XO\ !JC+/B%7YdbVC6)6F^AZ]0BT8Do6081X@!%5A$4Afm3@NRsb-X</ewtbTMTe6GJ^VX5!,4NqE;f<iY:%QOgqUO\ktG 694Xos{bsfQpijqtt>P",0,0,0,,,,,,,,,,,,,,,,,"U",1,"1-2-2-22",0.38999999,0.61290324,0.38,0.088530466,0.14819999,1674,1822.2,17.875782,2.7,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"^M(!!M\r$<G (X","[X{F34",,"mn75tQc\kanx",,,,"Road/Highway Embankment",,,,,,,,0.55884147,,3.3231707,,,,,,,,,0,0,,,,,,300,,,,,,,,,0
"478256649",2.5,,"AZ923","9-23","NE0114-541","5-4-1-19","08/14/03 16:09:09",,,,,,,,,,,,,,"}$W ;8/D+",,,"bN7:^3CtbsIlN22C Ws:!,06A.A/%0&MR4X-X#;X89>sIn9A700W(G([;Gq^ f{F6V0X55(6\*er!;2 Te:.E^0spHv4JqE]E 69M+N/M9DF7r.Gsm$Tsjxya[qHFz9L%*fL#kdecjgqDWczj",0.237,0.53200001,0.29500002,,,,,,,,,,,,,,,,,"U",1,"5-4-1-19",1,0.78571427,0.44,0.28061223,0.44,1568,2008,19.698481,2.8,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",F$N+H>O<-^:VN","v7N@\$XHB",,"mn75tIc,js}z",,,,"Road/Highway Embankment",,,,,,,,0.48272255,,4.1463413,,,,,,,,,0,0,,,,,,300,,,,,,,,,0
"480382760",2.5,,"AZ923","9-23","AR2042-154","1-5-4-23.5","07/29/03 17:07:51",,,,,,,,,,,,,,"(&BJ(6%^^",,,"b-$@B2.A7LikF$G.3UDl18Y]T4T^C2C+W4X>6^3Z&^NLimB9C+MUl5F47+s(6e6GJ^VX5!,4^NqEnZ;4Ydh1Z-VDDe+J.sI,SJ.T+-N/.*Su8E:fLx#UR\ssduEer*;Y)(es@#RqcjOQShzdp",0.1957,0.25299999,0.057299986,,,,,,,,,,,,,,,,,"U",1,"1-5-4-23.5",0.87,0.51515156,0.34000003,0.16599327,0.29580003,1782,2077.8,20.383219,2.7,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,":S17X6 W(.%:^V",">@+NxKC#F",,"+$9#W[/aooob",,,,"Road/Highway Embankment",,,,,,,,0.59705186,,0.60975611,,,,,,,,,0,0,,,,,,300,,,,,,,,,0
"482929388",2.5,,"AZ923","9-23","AZ0215-41S","4-1-S-12","07/25/03 11:20:30",,,,,,,,,,,,,,"l,cM1",,,"aGM*-B(i[dR#8+7!$er^:1F$SGo()6C5Hz45T/&D@4^dR%-N-> e%L*0(3e0Vs>VJ/.!^321#.fL<)0)sOv(7,JreG6N1es^T7*T5@;!HHEA0L/Ydg0FPsIWczjGs;(K28sR[#OOWtlvEo]ef",0,0,0,,,,,,,,,,,,,,,,,"U",1,"4-1-S-12",0.28,0.49253738,0.33000004,0.049608082,0.092400007,1862.5999,1954.9999,19.178549,2.78,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"z45V/-$fv4/N+F","\Y R[8X7",,"}>9)Ho)ov}fo",,,,"Road/Highway Embankment",,,,,,,,0.30487806,,26.219513,,,,,,,,,0,0,,,,,,300,,,,,,,,,0
"483557965",2.5,,"AZ923","9-23","WsTk15-215","2-1-5-30","09/09/03 08:57:15",,,,,,,,,,,,,,"[4D{GZ*VH8o(&BJ6%^^",,,";9G-2(^F/rtwG)-0Gos{/1H, )u*(+X&i<R^E554<:2rtaVB*8To(B30+-F;Cq<3S@F)M(1X]1UDfV79Gsn%A1MsWW6X5FS*A4#E&3*V0JOP&D}er}]QIrnck[uWs!@-:9qEz%Lki[exOsduE",0.27039999,0.47,0.19960001,,,,,,,,,,,,,,,,,"REM",1,"2-1-5-30",0.94,0.63934422,0.38999999,0.22094984,0.36659998,1659.2001,2025.8,19.873098,2.72,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,";V1.@^)S@V.^Z+",";8E/ 7G",,"55^n%1&R9A<p",,,,"Road/Highway Embankment",,,,,,,,0.76219511,,3.2621951,,,,,,,,,0,0,,,,,,300,,,,,,,,,0
"483978430",2.5,,"AZ923","9-23","AR2042-152","1-5-2-15","07/29/03 16:37:55",,,,,,,,,,,,,,"(-6*&%1G/",,,"tJC8%14T/so# ^G.%FS$B&VV80Y+)G.7U} 3L0:F+*2so%&0C+.FbKD^@TL..d>T0-C#!18J3&sIvV27sRk1Z>/Stq<3QLi[R71X7.@,SZtG9I!esc0CW\sQOrgqE}Z4 )dR/zPsUpvmtE}ji",0.1913,0.32499999,0.13369998,,,,,,,,,,,,,,,,,"U",1,"1-5-2-15",0.83999997,0.58730161,0.37,0.18137255,0.31079999,1713.6,2024.4,19.859364,2.72,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,".K4<X38T^C2C+5","$B9+@E+0-",,"& /9Rf-cjiUt",,,,"Road/Highway Embankment",,,,,,,,0.38109756,,0.60975611,,,,,,,,,0,0,,,,,,300,,,,,,,,,0
"484933058",2.5,,"AZ923","9-23","CO7035-741","7-4-1-19","08/13/03 17:14:28",,,,,,,,,,,,,,"l>LScB$X",,,"kA8<^!1q<Afh0@F)GOP>@,R4J#s,*NC8s;V1Z@;(5V)Afk58N%TO<M+[8Dt]DI,SJ.T+-N/.**Su%/!XLifVV1CPODvSLtG6N53T8X(*T0HF<u4EA;!KY}tcgleDF(1D{XIT*#o\yd\sHWuvn",0,0,0,,,,,,,,,,,,,,,,,"REM",1,"7-4-1-19",0.41,0.42857146,0.30000001,0.066058002,0.123,1862,1985,19.472851,2.6600001,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",F$N+H>O<-^:VN",":+-[&%1G^",,"@{2#sk,gquOm",,,,"Road/Highway Embankment",,,,,,,,0.48272255,,9.1463413,,,,,,,,,0,0,,,,,,300,,,,,,,,,0
