SCurveDry_ID,voledSoil_Counter,voledSuction,voledWater_Content,voledSuction_psf
"{413D0A4E-5F85-4998-A16A206C2640928E}","366920736",2,13.14,41.769958
"{41F808FD-CBF8-413B-B7821B62E8AF841B}","549106279",30,15.88,626.54938
"{428B70F4-06C3-41D1-8265F5A9A2C36082}","857090102",600,12.97,12530.988
"{428DE067-FA9A-49B9-B5103672F13C8A64}","449839485",300,6.8600001,6265.4941
"{4353BECF-AB65-4618-81998E85F971CAC1}","374098777",100,10.44,2088.498
"{43A09B70-7877-43F7-86AE70C318F1B330}","560393439",200,23.01,4176.9961
"{45BA981C-A3CC-4489-82A86B4B66EB229C}","366407288",1400,13.22,29238.973
"{47D2B9B8-CDA1-4C50-A1DED914456C24B8}","459331088",1400,20.280001,29238.973
"{4A8536FF-EDE5-4C03-814E4622ECB3AFE5}","704385492",3,16.25,62.654942
"{4BA1F10F-0757-4370-B23D07BEA4A954B5}","395404285",2.6700001,13.78,55.762897
"{4BACFA12-2310-4F0E-9536C0382EF7D9BE}","616131517",1400,9.3800001,29238.973
"{4C0C18A2-0210-4A08-89D18CEB7802F799}","239883051",100,14.64,2088.498
"{4C30CEAC-9779-4ED2-AB52704789D65EAE}","716912057",1400,25.4,29238.973
"{4C791BA1-0398-481A-BF4A58600D867AFC}","514723883",1400,15.45,29238.973
"{4CAFEB87-F2BB-400D-A546CBAE23FDFCEB}","253499984",200,27.65,4176.9961
"{4E4DD20E-2DA6-4559-968D5EFF2A87EA59}","704385492",100,8.0500002,2088.498
"{4F21C3DF-1DC1-4AE3-A8FF399B2F58AF4D}","979457961",518,6.04,10818.42
"{4F56044D-2A07-4978-BEE52F0456F22431}","737639162",30,10.51,626.54938
"{50CA2195-CCEF-44B5-9740F8566F159EC6}","365380340",300,24.540001,6265.4941
"{50E0195B-2C68-46B7-9E28D5DACB51648E}","626855055",8.6800003,15.56,181.28163
"{50F8A392-90BE-46C4-99B660F8389E90E4}","247288332",300,24.110001,6265.4941
"{51A13732-AAF7-4D7C-84BBE38600C8F818}","626855055",3.21,15.76,67.040787
"{5309E7FC-5FDC-42F7-A09F8E87B7F24561}","645047346",20,6.2600002,417.69962
"{55072945-EC63-4E06-AAC82F50E7F565D4}","699568165",200,33.52,4176.9961
"{56CF203D-2FE5-4734-AE35E51BE4264215}","870110935",1400,16.92,29238.973
"{5A0505F1-A277-4B86-A7890DE7F51B36E2}","239883051",20.700001,23.209999,432.31909
"{5F3D43D8-A71E-4F40-A316272B1C83F3E3}","783668782",20,49.09,417.69962
"{5F8E743D-A36F-4B21-9FB15FBF69292A01}","247288332",100,26.309999,2088.498
"{600149D3-27DE-4D51-B2400E7D2516D4CA}","518605761",550,15.27,11486.739
"{6080051C-FDBE-4884-A88A87375B95619D}","715172502",207,23.92,4323.1909
"{60FA5C9D-C847-4DE2-B25BD1C9B9B098C5}","737639162",300.14999,6.0500002,6268.6265
"{6131762E-416F-45F5-A1113D91598F9583}","448762416",1400,19.27,29238.973
"{61BDB000-C61E-4DD6-8E4257A2B4C58868}","141837967",100,4.8099999,2088.498
"{62679EEC-88E6-44E6-81B0719EEADE9E2A}","662774880",1400,21.530001,29238.973
"{6416F4CE-8BE3-4536-BEE63A522EB5FFCA}","514723883",50,21.15,1044.249
"{680D15AA-317C-40A2-ACAC734ED3AFF879}","311014493",1400,16.99,29238.973
"{68810D0D-3156-4037-A4838EA72E9B9C42}","627865738",29.67,4.79,619.65735
"{6CC1FCE4-CA6B-46F7-BB2CFD5CB3B5996E}","662774880",50,29.379999,1044.249
"{6E00E574-46AD-474F-AFC931A0C803C20B}","311014493",40,21.059999,835.39923
"{6EE03A04-5A07-4AC2-9649AEA5E8107791}","617142200",200,21.33,4176.9961
"{71BE043A-A677-4696-B18B9253597BBAD0}","499612331",1400,15.74,29238.973
"{7262653C-8885-4788-A7C650B47EF158AD}","987431261",3.8,17.780001,79.362923
"{73B669E0-E74D-416A-80482906B5C77235}","850845972",1400,20.440001,29238.973
"{746A5C60-7A0A-49F5-AAD0E117BE25B585}","977775944",3.2,21.219999,66.83194
"{74A5B709-38D5-4F5F-8548E1D563561884}","716912057",50,35.669998,1044.249
"{74EBE7D8-F7A6-444F-B576B274D3E1DB6E}","907329135",100,7.4699998,2088.498
"{7529CA52-5027-4DDA-950BE4D470D0018D}","977775944",100,16.610001,2088.498
"{765F6787-4E9D-46A6-9D3922CA2682A852}","810840659",4.25,15.93,88.761169
"{7688B16C-1759-4407-9D5CA3C77F3A2476}","410325474",500,6.8600001,10442.49
"{7782C244-90F2-479F-BA5B98AE3E32963F}","374098777",8.7200003,16.219999,182.11703
"{77EB7EB2-E527-4AE3-B1C438903E4F99B4}","452089574",1400,17.870001,29238.973
"{780D3232-9507-401D-997C6A2AE05D3B1D}","152411036",15.03,14.2,313.90125
"{78D576F1-F70C-4290-A47FA8E416B0C4D8}","560393439",50,25.049999,1044.249
"{79EEDDCE-2306-43D1-BA4967840CDAE000}","449839485",50,11.24,1044.249
"{7BA9F21D-EAC4-404D-821B0C6A967E89A5}","555005126",1400,15.82,29238.973
"{7BBB8C7A-AB9F-47B4-84CC7BBA1E5941B8}","499612331",500,17.620001,10442.49
"{7D6CDF36-0732-4A74-8149A8E98B898BD8}","442379633",100,7.1399999,2088.498
"{7D9FBE65-B9EE-4371-A1676870DDE16ABB}","366407288",500,14.89,10442.49
"{7E524EBE-07D4-4CF4-93AB493A10DDC0BA}","987270461",100,6.7600002,2088.498
"{7E812A77-6248-4DA8-B05902F252FAAC4E}","452089574",41.400002,22.43,864.63818
"{7EBF4BFE-F376-432B-BBDB1A0366A39F62}","650946193",50,24.190001,1044.249
"{80DAD082-7A9E-4682-BF3915B27FEE1E59}","745177268",50.029999,27.889999,1044.8755
"{8164994F-1546-4B85-B3A6CC15A1409EBC}","977775944",300,13.31,6265.4941
"{8269A437-F300-4C2E-93193D2AB16F93FF}","752284473",30,7.4000001,626.54938
"{84F3790D-1B48-4ACB-A1118037910384DA}","768493758",20,27.290001,417.69962
"{850089A8-C023-4F2C-B5E31082204333EF}","716912057",500,29.25,10442.49
"{85F1269C-AAED-4D0D-B4C630C935D7BF50}","493713484",20,15.8,417.69962
"{864D42BC-9A04-445D-9B2C6343B2F4102E}","270169628",50,22.780001,1044.249
"{86DA760C-C175-4BFB-8CE3137B28FF327E}","449839485",9.8299999,16.059999,205.29935
"{878D3237-82BF-4F5B-89A9167D17D69550}","881977981",100,11.73,2088.498
"{888F7D4E-9CA9-4EBE-8C13FA8AF6516408}","627865738",3.9200001,7.5700002,81.869125
"{8907DCA3-FB17-4913-BFDF209FEE98C160}","616131517",500,11.77,10442.49
"{8A02EEEF-FDB7-4A02-AAC84EF866F6BFEB}","365380340",4.9000001,36.84,102.3364
"{8A9C4873-9EA3-4100-AE8F3CC47D7412C5}","384667449",3.6300001,14.39,75.812477
"{8AD3F286-BC5C-4685-992021ED4024CC80}","724385208",19.950001,11.79,416.65536
"{8AD94BD2-BCB8-40EC-B6F8571DEA7F613F}","715172502",51.75,25.389999,1080.7977
"{8B7E6103-8D98-4B26-8A7A9F641964EB42}","617142200",1400,18.280001,29238.973
"{8B86A0B9-1C64-4146-A0BE3BC7CF882299}","500276247",200,5.5100002,4176.9961
"{8FE5FB34-0211-4ED4-86304D180C5FD147}","965839544",500,21.620001,10442.49
"{902203B2-E1EF-4662-803937A78734AFB3}","141837967",9.7200003,8.1000004,203.00201
"{919E622A-4651-47BC-8BF5F8D11958E402}","617142200",40,22.57,835.39923
"{923C34DA-F5A8-441C-8BDCCFF21B02DABB}","764734321",80,11.13,1670.7985
"{93A35E4D-D94A-4D58-922FE05675562B57}","239883051",500,9.8100004,10442.49
"{94D3E7E7-AF8D-4F14-B5B387B21AA9A2AA}","932749642",100,11.83,2088.498
"{955C7F39-03A2-489B-9FF05597676D5112}","797098318",200,35.759998,4176.9961
"{9718AC65-556D-4021-BF6D25BBDC8F4811}","311014493",200,19.91,4176.9961
"{9917B926-E725-4427-9060759DF29E619A}","616131517",50,14.71,1044.249
"{9A696A2E-4A77-43D3-A9507B8421E0E744}","768493758",100,16,2088.498
"{9A7F1BC7-57F3-4AB1-93627A30E64E4E54}","987640804",80,27.18,1670.7985
"{9ACF13E5-EC4A-45EB-B7827D4DC5D22F27}","277377181",30,8.1999998,626.54938
"{9AF026E0-D05A-4DE4-858D821B9F058784}","699568165",690,30.219999,14410.637
"{9BC63480-BFDC-4B19-9E557A123C0FA655}","768493758",550,10.75,11486.739
"{9C856ABF-4D7C-49C5-91C12EE9DA95E3C9}","459331088",50,26.530001,1044.249
"{9CB1B008-213F-4B72-91C5955A837C99F5}","435172080",100,12.72,2088.498
"{9CCC9F8D-02E5-404B-8FB70F7D33A9B5C6}","190952724",50,17.370001,1044.249
"{9DF3DCFF-2A13-4E27-88C28C2C043C358E}","280446105",19.73,7.8000002,412.06064
"{9F688997-AA49-41DD-83E7C8D00B97E61E}","277377181",4.3800001,10.1,91.476219
"{A2B7E184-044F-4E7D-AEC6189215F7360B}","948157787",50,24.700001,1044.249
"{A2F80A1A-60A4-4195-9BF024835E38AF18}","752284473",300.14999,3.1800001,6268.6265
"{A4A1AC1B-142C-4BB4-95F373DC09B9CA29}","645047346",2.1099999,14.44,44.067307
"{A6BFC07C-2F1B-499D-951035E5890BAAE0}","190952724",500,14.56,10442.49
"{A6FD140B-8BC7-4100-A05864EB3D045006}","227495193",50,25.620001,1044.249
"{A7A42354-F589-46FC-8D8A28ABEBF4642B}","550102180",1400,14.29,29238.973
"{AA7FFCA0-1B65-4295-A9D71635AD16FA32}","448762416",500,22.190001,10442.49
"{AB4B7788-E669-4E2F-A547BE976BC8A523}","765086968",30,19.77,626.54938
"{AC4A2792-9CFD-4D7C-A2A657299BBCD494}","907329135",30,8.7700005,626.54938
"{ADA520C0-A47D-481C-917E9F808D3B6C61}","435172080",20.700001,13.74,432.31909
"{AF77A4FF-207B-4E79-97E4D4BA550DD8CA}","987431261",300,6.0100002,6265.4941
"{AF9C72F3-6979-4588-AE1B7FB126E372A9}","932749642",500,9.4399996,10442.49
"{B53B9DE2-11E9-4230-AEE29C2878A06501}","410325474",1400,5.0100002,29238.973
"{B70D530B-8D21-44FC-B475B38DEA356BE2}","493713484",550,8.96,11486.739
"{B76FF0E4-07CB-4030-BEB1DC14AE441ECC}","555005126",690,16.84,14410.637
"{BDFD6E95-714E-4FEF-B3C61603F76AD24E}","645047346",100,5.1500001,2088.498
"{BEF5A4B2-9B39-4826-9A4AE9D7B35A70FE}","875947793",8.46,9.5100002,176.68694
"{BFB1BC80-40A6-4C99-A980C9351A191C03}","881977981",500,10.6,10442.49
"{C219B09A-4EB7-4E64-B27BC6DAC007C1ED}","499612331",50,20.299999,1044.249
"{C2FD6BD9-00D0-4B15-B04D843C01D9A4F0}","932749642",20,12.72,417.69962
"{C43D8EA4-7483-45D6-A35EC59B5700D2FF}","500276247",30,8.79,626.54938
"{C4790443-5BA7-422E-968C4868A98E51E2}","764734321",500,8.75,10442.49
"{C487D131-BAD9-4C11-9C9926B0C73580C4}","653029547",100,28.32,2088.498
"{C5A17B27-58DF-45A1-8B0E8F7CACD9FD98}","764734321",20,12.44,417.69962
"{C65A7091-EF1B-41F7-995B6A1F5D446568}","824500348",10,14.78,208.84981
"{C907B775-308C-4163-9C83A4238E86CB22}","653029547",20,37.23,417.69962
